日期,SPU ID,展现数,点击数,点击率(%),花费,千次展现成本,平均点击成本,投产比,转化率(%),总订单金额
20260918,10028127816877,82,7,8.54,7.57,92.32,1.08,26.16,14.29,198.00
20260918,10025384379700,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260918,10028317202774,26,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260918,10025384373603,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260918,10026798172856,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260918,10025397788065,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260918,10034365091854,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260918,10025384403348,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260917,10026091802665,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260917,10028469365760,40,1,2.50,0.63,15.75,0.63,0.00,0.00,0.00
20260917,10025384394885,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260917,10025384424013,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260917,10025384403760,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260917,10029128476645,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260917,10025384410841,2,1,50.00,0.38,190.00,0.38,0.00,0.00,0.00
20260917,10025939088316,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260917,10025384393780,157,4,2.55,3.69,23.50,0.92,0.00,0.00,0.00
20260917,10025384408251,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260917,10028317202774,12,2,16.67,1.71,142.50,0.86,0.00,0.00,0.00
20260917,10025384398866,33,2,6.06,0.51,15.45,0.26,0.00,0.00,0.00
20260917,10025384420542,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260917,10026609913039,6,1,16.67,0.49,81.67,0.49,0.00,0.00,0.00
20260917,10025384424512,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260917,10025384392785,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260917,10026527524610,15,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
